,0,1,2,3,4,5,6,7,8,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
.kernel.kernels[0].variance,0.7962666962331381,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[0].lengthscales,1.0737917264781636,1.135682657018034,1.8987573064955383,1.7376048891718836,1.8463000543220753,1.9974102329428416,1.5060937089366995,1.7736404003410378,1.8347890457986258,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[1].variance,0.5246300605804676,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[1].lengthscales,1.9109826936716883,1.3547529960745948,1.246400508750649,1.6228405158884587,2.118660490316403,2.3585152038774266,2.025419793910123,2.186817386344877,2.3039763398209145,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[2].kernels[0].variance,0.7818219169107221,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[2].kernels[1].variance,1.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[2].kernels[1].lengthscales,365.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[3].kernels[0].variance,0.7855619409272323,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[3].kernels[1].variance,1.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[3].kernels[1].lengthscales,365.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[4].kernels[0].variance,0.782507676503219,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[4].kernels[1].variance,1.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[4].kernels[1].lengthscales,365.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[5].kernels[0].variance,0.705560692613261,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[5].kernels[1].variance,1.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[5].kernels[1].lengthscales,365.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[6].kernels[0].variance,0.6430967377342632,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[6].kernels[1].variance,1.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[6].kernels[1].lengthscales,365.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[7].variance,0.8546159679261482,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.2,4.6.2 has build_functions_v2 implemented.,1000,25,"[[-1.67132205e+00  1.58000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.88251851e-01  2.39000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.55479989e+00  5.27000000e+02 -5.96741712e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 2.80424262e-01  9.55000000e+02 -9.77498843e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.78784422e+00  5.19000000e+02  5.04618534e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.73056036e-01  5.71000000e+02  5.77132341e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
